"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"7315","Lippupiste","Kasarmikatu 46-48","00130","Helsinki","Kaartinkaupunki","",""
"7316","Lippupiste","Turunlinnantie 1","00099","Helsinki","Itäkeskus","",""
"7317","Lippupiste","Itäkatu 1-5 C","00930","Helsinki","Itäkeskus","",""
"7318","Lippupiste","Aleksanterinkatu 52","00100","Helsinki","Kluuvi","",""
"7319","Lippupiste","Mosaiikkitori 2","00980","Helsinki","Keski-Vuosaari","",""
"7365","Lippupiste","Puistotie 11","01400","Vantaa","Asola","",""
"7366","Lippupiste","Valimotie 9","01510","Vantaa","Tammisto","",""
"7367","Lippupiste","Vantaanportinkatu 3","01510","Vantaa","Pakkala","",""
"7380","Lönnrotinkadun apteekki","Lönnrotinkatu 27","00180","Helsinki","Kamppi","","Apteekit"
"7383","Lorella","Kauppamiehentie 1","02100","Espoo","Tapiola","","Vaatekaupat"
"7384","Lorella","Olavinkatu 2","00100","Helsinki","Kamppi","","Vaatekaupat"
"7385","Lorella","Linnanrakentajantie 6-8","00880","Helsinki","Herttoniemi","","Vaatekaupat"
"7390","Lounaskahvila Eve","Latokartanonkaari 23","00790","Helsinki","Latokartano","","Kahvilat"
"7391","LounasMatti Ravintola Gatehouse","Komentosilta 1","00980","Helsinki","Niinisaari","","Ravintolat"
"7392","LounasMatti Ravintola Service Center","Satamakaari 35","00980","Helsinki","Niinisaari","","Ravintolat"
"7393","Lounasravintola Gardenia","Koetilantie 1","00790","Helsinki","Viikin tiedepuisto","","Ravintolat"
"7407","Luckan","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Muut"
"7409","Lukkoliike Lukitusturva","Vartiokyläntie 38","00950","Helsinki","Vartioharju","","Lukkosepät"
"7410","Lukkoliike Lukkokeskus 24h","Latokartanontie 7","00700","Helsinki","Ala-Malmi","","Lukkosepät"
"7411","Lukkopuoti","Sahaajankatu 7","00880","Helsinki","Herttoniemi","","Lukkosepät"
"7412","Lundia","Martinsillantie 10","02270","Espoo","Eestinmalmi","","Sisustusliikkeet"
"7413","Lundia","Varikkotie 2","00880","Helsinki","Roihupelto","","Sisustusliikkeet"
"7414","Lundia","Mäkelänkatu 84","00610","Helsinki","Käpylä","","Sisustusliikkeet"
"7417","Lundia","Riihitontuntie 1","01720","Vantaa","Varisto","","Sisustusliikkeet"
"7422","LUX nightclub","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Baarit ja yökerhot"
"7423","M & N Image","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Parturit ja kampaamot"
"7424","M Tapanilan Lähikauppa","Jäkälätie 2","00730","Helsinki","Tapanila","","Ruokakaupat"
"7427","M-Market","Laaksolahdentie 41","02730","Espoo","Jupperi","","Ruokakaupat"
"7433","M-Market","Hämeentie 135","00560","Helsinki","Arabianranta","","Ruokakaupat"
"7434","M-Market","Korkeavuorenkatu 19 H","00130","Helsinki","Ullanlinna","","Ruokakaupat"
"7435","M-Market","Jäkälätie 2","00730","Helsinki","Tapanila","","Ruokakaupat"
"7436","M-Market","Sulkapolku 2","00370","Helsinki","Reimarla","","Ruokakaupat"
"7437","M-Market","Mannerheimintie 118","00270","Helsinki","Laakso","","Ruokakaupat"
"7438","M-Market","Kauppalantie 26","00320","Helsinki","Etelä-Haaga","","Ruokakaupat"
"7489","M-Market","Vantaanrinne 14","01730","Vantaa","Piispankylä","","Ruokakaupat"
"7501","Madonna","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"7507","Make Your Mark Garage / Gallery","Kaasutehtaankatu 1","00540","Helsinki","Sörnäinen","","Muut"
"7508","Mäkelänrinteen Uintikeskus","Mäkelänkatu 49","00550","Helsinki","Vallila","","Uimahallit"
"7510","Makuuni Oy","Valakuja 10","02770","Espoo","Espoon keskus","","Videovuokraamot"
"7511","Makuuni Oy","Puolikkotie 8","02230","Espoo","Matinkylä","","Videovuokraamot"
"7512","Makuuni Oy","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Videovuokraamot"
"7515","Makuuni Oy","Fredrikinkatu 48","00100","Helsinki","Kamppi","","Videovuokraamot"
"7516","Makuuni Oy","Mechelininkatu 51","00250","Helsinki","Taka-Töölö","","Videovuokraamot"
"7517","Makuuni Oy","Kirkonkyläntie 5","00700","Helsinki","Ylä-Malmi","","Videovuokraamot"
"7518","Makuuni Oy","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Videovuokraamot"
"7519","Makuuni Oy","Munkkiniemen Puistotie 16","00330","Helsinki","Vanha Munkkiniemi","","Videovuokraamot"
"7520","Makuuni Oy","Aamuruskontie 2","00750","Helsinki","Tapulikaupunki","","Videovuokraamot"
"7521","Makuuni Oy","Unioninkatu 39","00170","Helsinki","Kluuvi","","Videovuokraamot"
"7522","Makuuni Oy","Iso Roobertinkatu 21","00120","Helsinki","Punavuori","","Videovuokraamot"
"7523","Makuuni Oy","Ratapihantie 6","00520","Helsinki","Keski-Pasila","","Videovuokraamot"
"7532","Makuuni Oy","Kauniaistentie 7","02700","Kauniainen","Kauniainen","","Videovuokraamot"
"7560","Makuuni Oy","Säätökuja 2 B 6","01510","Vantaa","Tammisto","","Videovuokraamot"
"7562","Malmin kirjasto","Ala-Malmin tori 1","00099","Helsinki","Ala-Malmi","","Kirjastot"
"7563","Malmin Korupaja Oy","Markkinatie 6","00700","Helsinki","Ylä-Malmi","","Koru- Ja kelloliikkeet"
"7564","Malmin Uimahalli","Pekanraitti 14","00700","Helsinki","Ala-Malmi","","Uimahallit"
"7565","Malminkartanon kirjasto","Puustellintie 6","00410","Helsinki","Malminkartano","","Kirjastot"
"7566","Malminkartanon sivuapteekki","Malminkartanonaukio 4","00410","Helsinki","Malminkartano","","Apteekit"
"7567","Manala","Museokatu 10","00100","Helsinki","Etu-Töölö","","Ravintolat"
"7568","Mango","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"7569","Manhattan","Mannerheimintie 20 A","00100","Helsinki","Kluuvi","","Ravintolat"
"7576","Marimekko","Kulttuuriaukio","02100","Espoo","Tapiola","","Sisustusliikkeet"
"7577","Marimekko","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Sisustusliikkeet"
"7578","Marimekko","Piispansilta 11","02230","Espoo","Matinkylä","","Sisustusliikkeet"
"7580","Marimekko","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"7581","Marimekko","Pohjoisesplanadi 33","00100","Helsinki","Kluuvi","","Sisustusliikkeet"
"7582","Marimekko","Aleksanterinkatu 50","00100","Helsinki","Kluuvi","","Sisustusliikkeet"
"7583","Marimekko","Kirvesmiehenkatu 7","00880","Helsinki","Herttoniemi","","Sisustusliikkeet"
"7584","Marimekko","Hämeentie 1 A","00530","Helsinki","Siltasaari","","Sisustusliikkeet"
"7585","Marimekko","Mikonkatu 2 D","00100","Helsinki","Kaartinkaupunki","","Sisustusliikkeet"
"7586","Marimekko","Itäkatu 7","00930","Helsinki","Itäkeskus","","Sisustusliikkeet"
"7615","Marimekko","Helsinki-Vantaan Lentoasema","01530","Vantaa","Lentokenttä","","Sisustusliikkeet"
"7616","Marimekko","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Sisustusliikkeet"
"7619","Marinea (Helsingin Venevaruste Oy)","Sörnäisten Rantatie 29","00500","Helsinki","Sörnäinen","",""
"7620","MaritimShops","Veneentekijäntie 1","00210","Helsinki","Lauttasaari","",""
"7622","Marlboro Classics","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"7624","Martinlaakson apteekki","Kivivuorentie 4","01620","Vantaa","Martinlaakso","","Apteekit"
"7630","Masku","Portti 1-5","02270","Espoo","Eestinmalmi","","Sisustusliikkeet"
"7634","Masku","Varikkotie 2 B","00880","Helsinki","Roihupelto","","Sisustusliikkeet"
"7665","Masku","Porttisuontie 4","01200","Vantaa","Kuninkaala","","Sisustusliikkeet"
"7666","Masku","Tiilipojanlenkki 2","01720","Vantaa","Petikko","","Sisustusliikkeet"
"7670","master pizza","Asematie 1","01300","Vantaa","Tikkurila","","Pizzeriat"
"7671","Matinkylän apteekki","Piispansilta 11 T 63","02230","Espoo","Matinkylä","","Apteekit"
"7674","Mattokymppi","Martinsillantie 10","02270","Espoo","Eestinmalmi","","Sisustusliikkeet"
"7676","Mattokymppi","Riihitontuntie 1","01720","Vantaa","Varisto","","Sisustusliikkeet"
"7677","Mattokymppi","Porttisuontie 4","01200","Vantaa","Kuninkaala","","Sisustusliikkeet"
"7678","Maunulan apteekki","Pakilantie 10","00630","Helsinki","Maunula","","Apteekit"
"7679","Maunulan kirjasto","Suursuonlaita 6","00099","Helsinki","Maunula","","Kirjastot"
"7680","Maunulan Mediapaja","Metsäpurontie 19-21","00630","Helsinki","Maunula","","Kerhot ja pajat"
"7683","mbar","Mannerheimintie 22-24","00100","Helsinki","Kamppi","","Baarit ja yökerhot"
"7684","mcare","Ruoholahdenkatu 8","00180","Helsinki","Kamppi","","Tietokoneliikkeet"
"7685","McDonald's","Niittymaantie 6","02200","Espoo","Niittykumpu","","Pikaruokalat"
"7686","McDonald's","Tähdenlennontie 3","02240","Espoo","Friisilä","","Pikaruokalat"
"7687","McDonald's","Espoonlahdenkatu 4-6","02320","Espoo","Espoonlahti","","Pikaruokalat"
"7688","McDonald's","Palomiehentie 2","02750","Espoo","Sepänkylä","","Pikaruokalat"
"7692","McDonald's","Aamuruskontie 2 A","00750","Helsinki","Tapulikaupunki","","Pikaruokalat"
"7693","McDonald's","Asema-Aukio 1","00100","Helsinki","Kluuvi","","Pikaruokalat"
"7694","McDonald's","Mannerheimintie 16","00100","Helsinki","Kluuvi","","Pikaruokalat"
"7695","McDonald's","Mannerheimintie 20","00100","Helsinki","Kamppi","","Pikaruokalat"
"7696","McDonald's","Siltasaarenkatu 12","00530","Helsinki","Siltasaari","","Pikaruokalat"
"7697","McDonald's","Laivalahdenkatu 1","00880","Helsinki","Herttoniemi","","Pikaruokalat"
"7698","McDonald's","Iso Roobertinkatu 1","00120","Helsinki","Punavuori","","Pikaruokalat"
"7699","McDonald's","Fredrikinkatu 46","00100","Helsinki","Kamppi","","Pikaruokalat"
"7700","McDonald's","Ostostie 4","00940","Helsinki","Kontula","","Pikaruokalat"
"7701","McDonald's","Ala-Malmin tori 4","00700","Helsinki","Ala-Malmi","","Pikaruokalat"
"7702","McDonald's","Paciuksenkatu 29","00270","Helsinki","Meilahti","","Pikaruokalat"
"7703","McDonald's","Pukinmäenkaari 55","00720","Helsinki","Pukinmäki","","Pikaruokalat"
"7704","McDonald's","Itämerenkatu 14","00180","Helsinki","Ruoholahti","","Pikaruokalat"
"7705","McDonald's","Asema-Aukio 2","00100","Helsinki","Kluuvi","","Pikaruokalat"
"7706","McDonald's","Mannerheimintie 53","00250","Helsinki","Laakso","","Pikaruokalat"
"7707","McDonald's","Kaivonkatsojantie 1 A","00980","Helsinki","Kallahti","","Pikaruokalat"
"7708","McDonald's","Itäkatu 1-5 A 29","00930","Helsinki","Itäkeskus","","Pikaruokalat"
"7709","McDonald's","Teollisuuskatu 6","00500","Helsinki","Vallila","","Pikaruokalat"
"7751","McDonald's","Tuupakantie 2 B","01740","Vantaa","Viinikkala","","Pikaruokalat"
"7752","McDonald's","Louhijantie 1","01610","Vantaa","Kaivoksela","","Pikaruokalat"
"7753","McDonald's","Maissikuja 2","01630","Vantaa","Hämeenkylä","","Pikaruokalat"
"7754","McDonald's","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Pikaruokalat"
"7755","McDonald's","Koivumäentie 33","01230","Vantaa","Vaarala","","Pikaruokalat"
"7756","McDonald's","Tikkuraitti 20","01300","Vantaa","Tikkurila","","Pikaruokalat"
"7757","McDonald's","Kirkkotie 4","01510","Vantaa","Tammisto","","Pikaruokalat"
"7761","Medi10","Läntinen teollisuuskatu 18","02920","Espoo","Niipperi","","Muut"
"7762","Megaeläin Iso Omena","Piispansilta 11","02230","Espoo","Matinkylä","","Eläinkaupat"
"7763","Megaeläin Itis","Itäkatu 7","00930","Helsinki","Itäkeskus","","Eläinkaupat"
"7764","Megaeläin Tammisto","Säätökuja 2 B 5","01510","Vantaa","Tammisto","","Eläinkaupat"
"7765","Megahertsin apteekki","Insinöörinkatu 2","00880","Helsinki","Herttoniemenranta","","Apteekit"
"7766","Mekka","Valakuja 10","02770","Espoo","Suvela","","Kenkäkaupat"
"7780","Mellukirppis","Korvatunturintie 2","00970","Helsinki","Mellunmäki","","Kirpputorit"
"7781","Melplay Store","Pekankatu 3","00700","Helsinki","Ala-Malmi","","Musiikkiliikkeet"
"7782","Meltex","Metsälammentie 2","02810","Espoo","Karhusuo","","Rautakaupat"
"7788","Meltex","Taivaltie 2","01610","Vantaa","Kaivoksela","","Rautakaupat"
"7789","Meltex","Kelatie 24","01450","Vantaa"," ","","Rautakaupat"
"7790","Memphis","Asema-Aukio 2","00100","Helsinki","Kluuvi","","Ravintolat"
"7791","Memphis","Kluuvikatu 8","00100","Helsinki","Kluuvi","","Ravintolat"
"7797","Merihaan sivuapteekki","Haapaniemenkatu 14","00530","Helsinki","Sörnäinen","","Apteekit"
"7802","Metropoli Kaluste","Varikkotie 2 B","00880","Helsinki","Roihupelto","","Sisustusliikkeet"
"7804","Metropoli Kaluste","Martinkyläntie 51","01720","Vantaa","Varisto","","Sisustusliikkeet"
"7805","Metropoli Kaluste","Porttipuistontie 1","01200","Vantaa","Kuninkaala","","Sisustusliikkeet"
"7809","MicMac / boys","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"7811","MicMac / girls","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"7819","Mikromafia","Kalevankatu 42","00180","Helsinki","Kamppi","","Tietokoneliikkeet"
"7820","Mikromarket","Laippatie 1","00880","Helsinki","Roihupelto","","Tietokoneliikkeet"
"7822","Mikrotukikohta","Leppävaarankatu 19","02600","Espoo","Etelä-Leppävaara","","Muut"
"7831","Minos","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"7832","Mobila Electronics Oy","Hevosenkenkä 3","02600","Espoo","Etelä-Leppävaara","","Matkapuhelimet"
"7834","Mobila Electronics Oy","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Matkapuhelimet"
"7837","Moda","Leppävaarankatu 3","02600","Espoo","Etelä-Leppävaara","","Vaatekaupat"
"7840","Moda","Itäkatu 1-5","09300","Helsinki","Itäkeskus","","Vaatekaupat"
"7841","Moda","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"7869","Moda","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Vaatekaupat"
"7870","Moda","Iskoskuja 3 B 77","01600","Vantaa","Myyrmäki","","Vaatekaupat"
"7875","Moko","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sekatavarakaupat"
"7878","Monki","Mannerheimintie 20","00100","Helsinki","Kamppi","",""
"7879","Monki","Aleksanterinkatu 48","00100","Helsinki","Kluuvi","",""
"7880","Monsoon","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"7881","Morticia","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"7883","Motivi","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Vaatekaupat"
"7884","Motonet","Espoontie 32","02740","Espoo","Karvasmäki","","Autotarvikkeet"
"7886","Motonet","Ristipellontie 19","00390","Helsinki","Konala","","Autotarvikkeet"
"7904","Motonet","Ansatie 1","01740","Vantaa","Ylästö","","Autotarvikkeet"
"7908","MRoom Kamppi","Malminrinne","00100","Helsinki","Kamppi","","Parturit ja kampaamot"
"8004","Munkki apteekki","Raumantie 1 A","00350","Helsinki","Munkkivuori","","Apteekit"
"8005","Munkkiniemen apteekki","Professorinaukio 2","00330","Helsinki","Vanha Munkkiniemi","","Apteekit"
"8006","Munkkiniemen kirjasto","Riihitie 22","00099","Helsinki","Vanha Munkkiniemi","","Kirjastot"
"8007","Munkkiniemen Pizzeria Kebab","Huopalahdentie 7","00330","Helsinki","Vanha Munkkiniemi","","Pizzeriat"
"8008","Munkkiniemen puisto apteekki","Munkkiniemen Puistotie 15","00330","Helsinki","Vanha Munkkiniemi","","Apteekit"
"8013","Museomyymälä Amos","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Muut"
"8016","Musta Härkä","Mäkelänkatu 52","00510","Helsinki","Vallila","","Ravintolat"
"8017","Musta Pörssi","Isonniitynkuja 2","02270","Espoo","Eestinmalmi","","Elektroniikkaliikkeet"
"8018","Musta Pörssi","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Elektroniikkaliikkeet"
"8020","Musta Pörssi","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Elektroniikkaliikkeet"
"8024","Musti ja Mirri","Itätuulenkuja 6","02100","Espoo","Tapiola","","Eläinkaupat"
"8025","Musti ja Mirri","Kamreerintie 3","02770","Espoo","Espoontori","","Eläinkaupat"
"8026","Musti ja Mirri","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Eläinkaupat"
"8027","Musti ja Mirri","Sinikalliontie 1","02630","Espoo","Taavinkylä","","Eläinkaupat"
"8028","Musti ja Mirri","Portti 1-5","02270","Espoo","Eestinmalmi","","Eläinkaupat"
"8035","Musti ja Mirri","Viikintori 3","00790","Helsinki","Viikin tiedepuisto","","Eläinkaupat"
"8036","Musti ja Mirri","Munkkivuori","00350","Helsinki","Munkkivuori","","Eläinkaupat"
"8037","Musti ja Mirri","Hitsaajankatu 9","00810","Helsinki","Herttoniemenranta","","Eläinkaupat"
"8038","Musti ja Mirri","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Eläinkaupat"
"8039","Musti ja Mirri","Itälahdenkatu 18","00210","Helsinki","Lauttasaari","","Eläinkaupat"
"8040","Musti ja Mirri","Kastelholmantie 2","00900","Helsinki","Itäkeskus","","Eläinkaupat"
"8041","Musti ja Mirri","Malmin Kauppatie 18","00700","Helsinki","Ylä-Malmi","","Eläinkaupat"
"8042","Musti ja Mirri","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Eläinkaupat"
"8043","Musti ja Mirri","Hämeentie 31","00500","Helsinki","Sörnäinen","","Eläinkaupat"
"8120","Musti ja Mirri","Petikontie 1","01720","Vantaa","Petikko","","Eläinkaupat"
"8121","Musti ja Mirri","Vapaalantie 2","01650","Vantaa","Vapaala","","Eläinkaupat"
"8122","Musti ja Mirri","Porttipuistontie 1","01200","Vantaa","Kuninkaala","","Eläinkaupat"
"8123","Musti ja Mirri","Valimotie 29","01510","Vantaa","Pakkala","","Eläinkaupat"
"8127","Muurla Design 360","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Sisustusliikkeet"
"8129","MV-kuvat","Malmin Kauppatie 18","00700","Helsinki","Ylä-Malmi","","Valokuvausliikkeet"
"8133","Myllypuron apteekki","Kiviparintie 2","00920","Helsinki","Myllypuro","","Apteekit"
"8134","Myllypuron mediakirjasto","Kiviparintie 2","00920","Helsinki","Myllypuro","","Kirjastot"
"8137","Myyrmäen apteekki","Jönsaksentie 6","01600","Vantaa","Myyrmäki","","Apteekit"
"8138","Myyrmannin Apteekki","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Apteekit"
"8142","Nahka Albert","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Vaatekaupat"
"8149","Namaskaar","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Ravintolat"
"8156","Neo-Act Oy","Niittyrinne 6","02270","Espoo","Eestinmalmi","","Muut"
"8157","Neo-Act Oy","Asentajankatu 1","00880","Helsinki","Herttoniemi","","Muut"
"8158","Neo-Act Oy","Muottikuja 6","01450","Vantaa"," ","","Muut"
"8160","Neptunus apteekki","Kauppiaankatu 2","00160","Helsinki","Katajanokka","","Apteekit"
"8162","Neste Oil Helsinki Eläintarha","Nordenskiöldinkatu 22","00240","Helsinki","Länsi-Pasila","","Huoltoasemat"
"8163","Neste Oil K-market Helsinki Munkkiniemi","Huopalahdentie 1","00330","Helsinki","Vanha Munkkiniemi","","Ruokakaupat"
"8164","Neste Oil K-Market Martinlaakso","Vihertie 39","01620","Vantaa","Martinlaakso","",""
"8171","Neste Oil Rajatorppa","Vapaalantie 1","01650","Vantaa","Vapaala","","Huoltoasemat"
"8173","Neste Oil Vantaa Varisto","Ulkoniitynkuja 2","01660","Vantaa","Varisto","","Huoltoasemat"
"8178","New Yorker","Itäkatu 1","00930","Helsinki","Itäkeskus","","Vaatekaupat"
"8182","Nguyen","Fredrikinkatu 49","00100","Helsinki","Kamppi","","Kauneus ja terveys"
"8202","Night","Hertaksentie 2","01300","Vantaa","Tikkurila","","Baarit ja yökerhot"
"8206","Nike Helsinki Store","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Kenkäkaupat"
"8208","Nilson Shoes","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Kenkäkaupat"
"8209","Nilson Shoes","Mannerheimintie 20 A","00100","Helsinki","Kamppi","","Kenkäkaupat"
"8210","Nilson Shoes","Urho Kekkosen Katu 1","00100","Helsinki","Kamppi","","Kenkäkaupat"
"8211","Nilson Shoes","Aleksanterinkatu 40","00100","Helsinki","Kluuvi","","Kenkäkaupat"
"8212","Nilson Shoes","Mannerheimintie 18","00100","Helsinki","Kluuvi","","Kenkäkaupat"
"8214","Nilson Shoes","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Kenkäkaupat"
"8215","Nimm","P Rautatiekatu 17","00100","Helsinki","Etu-Töölö","","Vaatekaupat"
"8217","Ninja","Leppävaarankatu 3-9","02600","Espoo","Etelä-Leppävaara","","Koru- Ja kelloliikkeet"
"8218","Ninja","Siltakatu 11","02770","Espoo","Suvela","","Koru- Ja kelloliikkeet"
"8220","Ninja","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Koru- Ja kelloliikkeet"
"8225","Ninja (for men)","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Koru- Ja kelloliikkeet"
"8226","Nissen","Espoonlahdenkatu 4","02320","Espoo","Espoonlahti","","Optikot"
"8227","Nissen","Tapiontori","02100","Espoo","Tapiola","","Optikot"
"8228","Nissen","Leppävaarankatu 3-5","02600","Espoo","Etelä-Leppävaara","","Optikot"
"8231","Nissen","Siltasaarenkatu 16","00530","Helsinki","Siltasaari","","Optikot"
"8232","Nissen","Mannerheimintie 22-24","00100","Helsinki","Kamppi","","Optikot"
"8233","Nissen","Aleksanterinkatu 50","00100","Helsinki","Kluuvi","","Optikot"
"8234","Nissen","Malminkaari 13-19","00700","Helsinki","Ala-Malmi","","Optikot"
"8235","Nissen","Itäkatu 7","00930","Helsinki","Itäkeskus","","Optikot"
"8236","Nissen","Vuotie 45","00980","Helsinki","Keski-Vuosaari","","Optikot"
"8273","Nissen","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Optikot"
"8274","Nissen","Tikkuraitti 18","01300","Vantaa","Tikkurila","","Optikot"
"8275","Nissen","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Optikot"
"8276","Nissen","Kivivuorentie 4","01620","Vantaa","Martinlaakso","","Optikot"
"8280","Nitron Sports Oy(nitronstore.fi)","Hämeentie 155 A 15","00560","Helsinki","Vanhakaupunki","","Urheilukaupat"
"8285","Nooa Säästöpankki","Tapiontori 3 C","02100","Espoo","Tapiola","","Pankit"
"8286","Nooa Säästöpankki","Leppävaarankatu 7","02600","Espoo","Etelä-Leppävaara","","Pankit"
"8287","Nooa Säästöpankki","Mannerheimintie 22-24","00100","Helsinki","Kamppi","","Pankit"
"8288","Nooa Säästöpankki","Itäkatu 1-5","00930","Helsinki","Itäkeskus","","Pankit"
"8291","Nooa Säästöpankki","Liesitori 1","01600","Vantaa","Myyrmäki","","Pankit"
"8292","Nooa Säästöpankki","Tikkuraitti 11","01300","Vantaa","Tikkurila","","Pankit"
"8298","Nordea pankki","Länsituulentie 10","02100","Espoo","Tapiola","","Pankit"
"8299","Nordea pankki","Leppävaarankatu 7","02600","Espoo","Etelä-Leppävaara","","Pankit"
"8300","Nordea pankki","Piispansilta 11","02230","Espoo","Matinkylä","","Pankit"
"8301","Nordea pankki","Hevosenkenkä 3","02600","Espoo","Etelä-Leppävaara","","Pankit"
"8312","Nordea pankki","Siltasaarenkatu 12","00530","Helsinki","Siltasaari","","Pankit"
"8313","Nordea pankki","Keinulaudankuja 4","00940","Helsinki","Kontula","","Pankit"
"8314","Nordea pankki","Gyldenintie 6","00200","Helsinki","Lauttasaari","","Pankit"
"8315","Nordea pankki","Mannerheimintie 7","00100","Helsinki","Kluuvi","","Pankit"
"8316","Nordea pankki","Munkkiniemen Puistotie 14","00330","Helsinki","Vanha Munkkiniemi","","Pankit"
"8317","Nordea pankki","Kylänvanhimmantie 29","00640","Helsinki","Patola","","Pankit"
"8318","Nordea pankki","Maistraatinportti 4","00240","Helsinki","Länsi-Pasila","","Pankit"
"8319","Nordea pankki","Hiomotie 30","00380","Helsinki","Pitäjänmäki","","Pankit"
"8320","Nordea pankki","Museokatu 40","00100","Helsinki","Etu-Töölö","","Pankit"
"8321","Nordea pankki","Kantelettarentie 1","00420","Helsinki","Kannelmäki","","Pankit"
"8322","Nordea pankki","Hiihtomäentie 14","00810","Helsinki","Länsi-Herttoniemi","","Pankit"
"8323","Nordea pankki","Malmin Kauppatie 18","00700","Helsinki","Ylä-Malmi","","Pankit"
"8324","Nordea pankki","Tukholmankatu 2","00250","Helsinki","Meilahti","","Pankit"
"8325","Nordea pankki","Huopalahdentie 24 B","00350","Helsinki","Munkkivuori","","Pankit"
"8326","Nordea pankki","Aleksanterinkatu 30","00100","Helsinki","Kluuvi","","Pankit"
"8327","Nordea pankki","Elielinaukio 3","00100","Helsinki","Kluuvi","","Pankit"
"8328","Nordea pankki","Paasivuorenkatu 3","00530","Helsinki","Siltasaari","","Pankit"
"8329","Nordea pankki","Erottajankatu 1","00130","Helsinki","Kaartinkaupunki","","Pankit"
"8330","Nordea pankki","Torikatu 4","00700","Helsinki","Ylä-Malmi","","Pankit"
"8331","Nordea pankki","Olavinkatu 1","00100","Helsinki","Kamppi","","Pankit"
"8332","Nordea pankki","Aleksanterinkatu 52 B","00100","Helsinki","Kluuvi","","Pankit"
"8333","Nordea pankki","Hopeatie 2","00440","Helsinki","Lassila","","Pankit"
"8334","Nordea pankki","Erottajankatu 5","00130","Helsinki","Kaartinkaupunki","","Pankit"
"8335","Nordea pankki","Keskuskatu 5 B","00100","Helsinki","Kluuvi","","Pankit"
"8336","Nordea pankki","Melkonkatu 28 C","00210","Helsinki","Lauttasaari","","Pankit"
"8337","Nordea pankki","Itäkatu 1-7","00930","Helsinki","Itäkeskus","","Pankit"
"8338","Nordea pankki","Kahvikuja 3","00980","Helsinki","Aurinkolahti","","Pankit"
"8366","Nordea pankki","Promenadi 1","02700","Kauniainen","Kauniainen","","Pankit"
"8481","Nordea pankki","Maakotkantie 12","01450","Vantaa","Korso","","Pankit"
"8482","Nordea pankki","Vantaanportinkatu 3","01510","Vantaa","Pakkala","","Pankit"
"8483","Nordea pankki","Liesitori 1","01600","Vantaa","Myyrmäki","","Pankit"
"8484","Nordea pankki","Asematie 10","01300","Vantaa","Tikkurila","","Pankit"
"8485","Nordea pankki","Tasetie 8","01510","Vantaa","Pakkala","","Pankit"
"8486","Nordea pankki","Ojalehdonkuja 1","01400","Vantaa","Asola","","Pankit"
"8487","Nordea pankki","Iskoskuja 3","01600","Vantaa","Myyrmäki","","Pankit"
"8488","Nordea pankki","Asematie 6 B","01300","Vantaa","Tikkurila","","Pankit"
